,HEFAMINC,HRNUMHOU,HRHTYPE,PTDTRACE,PREMPNOT,PRCHLD,PRNMCHLD,HETS2O,HETS6O,HETS8CO,HESP1,HETSP3O
11361,12,3,4,2,1,0,0,-1,-1,-1,-1,-1
11362,12,3,4,2,1,0,0,-1,-1,-1,-1,-1
11363,13,2,1,1,4,0,0,50,20,-1,-1,-1
11364,13,2,1,1,4,0,0,50,20,-1,-1,-1
11365,10,3,1,1,4,0,0,-1,-1,-1,-1,-1
11366,10,3,1,1,4,0,0,-1,-1,-1,-1,-1
11367,10,3,1,1,4,0,0,-1,-1,-1,-1,-1
11368,16,2,1,1,1,0,0,130,150,-1,-1,-1
11369,16,2,1,1,1,0,0,130,150,-1,-1,-1
11370,8,2,1,1,4,0,0,110,-1,50,2,-1
11371,8,2,1,1,4,0,0,110,-1,50,2,-1
11372,8,1,6,1,4,0,0,50,30,-1,2,-1
11373,13,3,1,1,1,0,0,80,60,-1,-1,-1
11374,13,3,1,1,4,0,0,80,60,-1,-1,-1
11375,13,3,1,1,4,0,0,80,60,-1,-1,-1
11376,11,2,1,1,1,0,0,90,40,-1,-1,-1
11377,11,2,1,1,4,0,0,90,40,-1,-1,-1
11378,11,1,6,2,4,0,0,-1,-1,-1,-1,-1
11379,12,1,7,4,4,0,0,-1,-1,-1,-1,-1
11380,15,2,1,1,4,0,0,-2,-1,-1,-1,-1
11381,15,2,1,1,4,0,0,-2,-1,-1,-1,-1
11382,4,3,1,7,1,4,1,100,50,-1,2,-1
11383,4,3,1,7,4,4,1,100,50,-1,2,-1
11384,4,3,1,7,1,0,0,100,50,-1,2,-1
11385,10,3,1,1,4,0,0,150,-2,-1,2,-1
11386,10,3,1,1,1,0,0,150,-2,-1,2,-1
11387,10,3,1,1,1,0,0,150,-2,-1,2,-1
11388,10,1,6,1,1,0,0,30,4,-1,2,-1
11389,11,3,1,1,1,1,1,80,30,-1,-1,-1
11390,11,3,1,1,4,1,1,80,30,-1,-1,-1
11391,11,3,1,1,-1,0,0,80,30,-1,-1,-1
11392,12,2,1,1,1,0,0,120,-1,-1,2,-1
11393,12,2,1,1,4,0,0,120,-1,-1,2,-1
25641,15,1,7,2,4,0,0,-1,-1,-1,-1,-1
25642,11,6,1,1,4,10,4,-1,-1,-1,-1,-1
25643,11,6,1,1,1,10,4,-1,-1,-1,-1,-1
25644,11,6,1,1,4,0,0,-1,-1,-1,-1,-1
25645,11,6,1,1,-1,0,0,-1,-1,-1,-1,-1
25646,11,6,1,1,-1,0,0,-1,-1,-1,-1,-1
25647,11,6,1,1,-1,0,0,-1,-1,-1,-1,-1
25648,6,1,6,1,4,0,0,-1,-1,-1,-1,-1
25649,3,1,7,2,4,0,0,80,20,30,1,160
25650,11,2,4,1,4,0,0,150,-1,50,-1,-1
25651,11,2,4,1,4,0,0,150,-1,50,-1,-1
25652,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
25653,10,2,4,2,4,0,0,40,20,-1,2,-1
25654,10,2,4,2,4,0,0,40,20,-1,2,-1
25655,16,2,1,2,1,0,0,50,-1,-1,-1,-1
25656,16,2,1,2,1,0,0,50,-1,-1,-1,-1
25657,15,1,7,1,1,0,0,130,-1,-1,-1,-1
25658,9,1,7,1,4,0,0,-1,-1,-1,-1,-1
25659,13,2,1,1,4,0,0,-1,-1,-1,-1,-1
25660,13,2,1,1,4,0,0,-1,-1,-1,-1,-1
25661,12,1,7,2,1,0,0,80,-1,-1,-1,-1
25662,16,4,1,1,1,3,2,120,60,-1,-1,-1
25663,16,4,1,1,1,3,2,120,60,-1,-1,-1
25664,16,4,1,1,-1,0,0,120,60,-1,-1,-1
25665,16,4,1,1,-1,0,0,120,60,-1,-1,-1
25666,1,1,7,1,4,0,0,-1,-1,-1,2,-1
